,runID,evtID,S2_area,S2_btm_area,S2_top_area,S2_TBA,S2_corrected_area,S2_XY_corrected_area,S2_width_ns,S2_peakAmp,S2_AFT_5,S2_AFT_10,S2_AFT_25,S2_AFT_50,S2_AFT_75,S2_AFT_90,S2_AFT_95,S2_rmsWidth_ns,S2_fwhm_ns,S2_x_cm,S2_y_cm,S2_xy_chiSq,S2_n_saturated,has_good_S1,drift_time,S1_area,S1_corrected_area,evt_total_area,evt_bad_area,evt_bad_e_area,evt_bad_ph_area,evt_bad_oth_area
31188,6985,18278,327.0,778.6459350585938,2471.488525390625,0.5208530426025391,3644.860595703125,0.13120900094509125,4280.0,2.736360788345337,1030.0,1180.0,1470.0,1840.0,2180.0,2480.0,2630.0,404.0,1220.0,-52.00310134887695,-3.4183292388916016,1.361953616142273,0.0,True,27540.0,106.35903930664062,114.09068298339844,3880.40175524354,524.2294835150242,3484.3067779541016,279.2033452093601,10.5325927734375
31766,7019,87728,75.0,256.0745544433594,657.0699462890625,0.4391368329524994,1060.34521484375,0.03695639222860336,4030.0,1.0451152324676514,890.0,1000.0,1280.0,1560.0,1850.0,2140.0,2350.0,346.0,840.0,25.945499420166016,-18.493207931518555,1.0327314138412476,0.0,True,16710.0,21.183860778808594,22.771392822265625,1041.1309692561626,106.6366226375103,957.4264030456543,62.30429646372795,0.21640896797180176
32178,6987,53489,165.0,842.94140625,2806.844482421875,0.5380871891975403,4096.2431640625,0.14779414236545563,4500.0,3.3663291931152344,1250.0,1440.0,1740.0,2060.0,2390.0,2710.0,2950.0,393.0,1130.0,27.164669036865234,-42.15961837768555,1.8132033348083496,0.0,True,23980.0,122.42938995361328,130.5742645263672,4088.2435131073,315.8893184661865,3807.031494140625,139.0747127532959,19.707916259765625
32744,7051,82843,65.0,802.7406005859375,1827.4539794921875,0.38959604501724243,2707.767578125,0.08707226067781448,3340.0,2.45462965965271,500.0,590.0,810.0,1120.0,1450.0,1680.0,1820.0,349.0,1240.0,-0.7672812938690186,-24.045238494873047,1.7149947881698608,0.0,True,2379.999755859375,1.8483176231384277,1.9210184812545776,2904.528261244297,272.1120725274086,2852.7540969848633,49.92584663629532,0.0
32890,7051,83963,240.0,1574.0030517578125,3475.67333984375,0.3765925168991089,5446.11279296875,0.1604742556810379,1850.0,5.727215766906738,390.0,460.0,630.0,880.0,1130.0,1280.0,1360.0,265.0,970.0,17.9403133392334,38.80690002441406,16.325305938720703,0.0,True,1120.0,15.862211227416992,17.304656982421875,5850.0925442278385,784.9559189379215,5623.635158538818,210.59517446160316,0.0
32933,7051,84349,101.0,1013.5458984375,3303.7119140625,0.5304677486419678,4666.77001953125,0.16800792515277863,2680.0,5.8116068840026855,660.0,770.0,960.0,1170.0,1390.0,1590.0,1720.0,254.0,720.0,-40.75088119506836,19.02255630493164,1.3976324796676636,0.0,True,8280.0,274.05908203125,290.42401123046875,5177.45096167922,586.0993991792202,4811.162357330322,86.46441611647606,5.765106201171875
32940,7051,84393,263.0,803.9114379882812,2480.436279296875,0.5104590058326721,3608.48779296875,0.12386857718229294,3390.0,3.8970837593078613,910.0,1040.0,1260.0,1550.0,1800.0,2040.0,2210.0,314.0,870.0,49.041805267333984,-0.785142183303833,1.42742121219635,0.0,True,15230.0,82.92984008789062,88.11136627197266,3675.8302943110466,308.544497191906,3347.2831993103027,224.09440392255783,21.52285099029541
33775,6993,139029,378.0,832.514892578125,2437.32666015625,0.490791916847229,3625.454345703125,0.12627936899662018,4380.0,3.225287437438965,980.0,1140.0,1440.0,1730.0,2040.0,2370.0,2550.0,373.0,950.0,-40.65346908569336,-27.746065139770508,2.0512454509735107,0.0,True,22620.0,82.42296600341797,87.27632141113281,4008.9994935691357,656.8216447532177,3593.005802154541,322.1387284696102,11.431996941566467
34158,6968,19945,168.0,1048.0330810546875,3361.3203125,0.5246317982673645,4933.82763671875,0.17359590530395508,3820.0,3.6436939239501953,1270.0,1450.0,1760.0,2120.0,2460.0,2790.0,2960.0,413.0,1220.0,-17.987890243530273,46.65862274169922,1.6834568977355957,0.0,True,18730.0,108.35324096679688,115.61408996582031,4988.691068351269,471.1605812907219,4725.7977867126465,149.9428000152111,4.597240656614304
34494,6977,82515,314.0,7.775981426239014,1368.28662109375,0.9886981844902039,1448.5682373046875,0.07460917532444,2760.0,1.731695294380188,440.0,550.0,750.0,980.0,1230.0,1480.0,1630.0,285.0,700.0,-27.43320083618164,-31.105735778808594,67.07144927978516,0.0,True,1420.0,1500.020751953125,1573.6202392578125,3213.970907241106,337.88509181141853,1425.5436096191406,286.03894022107124,2.367605447769165
